arr_airport,arr_city,arr_state,arr_country,n_occur
ACV,Arcata/Eureka,CA,USA,1390
APC,Napa,CA,USA,22
APV,Apple Valley,CA,USA,15
AUN,Auburn,CA,USA,20
AVX,Avalon,CA,USA,22
BFL,Bakersfield,CA,USA,1407
BIH,Bishop,CA,USA,17
BLH,Blythe,CA,USA,20
BLU,Emigrant Gap,CA,USA,20
BUR,Burbank,CA,USA,1610
BWC,Brawley,CA,USA,15
BXS,Borrego Springs,CA,USA,5
CCB,Upland,CA,USA,1
CCR,Concord,CA,USA,39
CEC,Crescent City,CA,USA,583
CIC,Chico,CA,USA,466
CLD,San Diego,CA,USA,749
CLR,Calipatria,CA,USA,15
COA,Columbia,CA,USA,5
CSL,Camp San Luis Obispo,CA,USA,2
CTC,Catamarca,CA,ARG,213
CXL,Calexico,CA,USA,20
DAG,Daggett,CA,USA,16
EKA,Arcata/Eureka,CA,USA,15
EMT,El Monte,CA,USA,15
FAT,Fresno,CA,USA,2368
FCH,Fresno,CA,USA,17
FUL,Fullerton,CA,USA,22
GNF,Quincy,CA,USA,5
HHR,Hawthorne,CA,USA,41
HMT,Hemet,CA,USA,20
HWD,Hayward,CA,USA,23
IPL,Imperial/El Centro,CA,USA,440
IYK,Inyokern,CA,USA,243
KIC,King City,CA,USA,17
LAX,Los Angeles,CA,USA,3564
LGB,Long Beach,CA,USA,1596
LPC,Lompoc,CA,USA,12
LSN,Los Banos,CA,USA,15
LVK,Livermore,CA,USA,20
MAE,Madera,CA,USA,15
MCC,Sacramento,CA,USA,20
MCE,Merced,CA,USA,259
MHR,Sacramento,CA,USA,15
MHV,Mojave,CA,USA,16
MIT,Shafter,CA,USA,5
MMH,Mammoth Lakes,CA,USA,664
MOD,Modesto,CA,USA,470
MRY,Monterey/Carmel,CA,USA,1719
MYF,San Diego,CA,USA,29
MYV,Marysville,CA,USA,17
NOT,Novato,CA,USA,22
OAK,Oakland,CA,USA,2084
ONT,Los Angeles,CA,USA,1333
ONT,Ontario,CA,USA,2048
OVE,Oroville,CA,USA,15
OXR,Oxnard/Ventura,CA,USA,192
PAO,Palo Alto,CA,USA,26
PMD,Palmdale,CA,USA,15
POC,La Verne,CA,USA,23
PRB,Paso Robles,CA,USA,11
PSP,Palm Springs,CA,USA,2005
PTV,Porterville,CA,USA,11
RAL,Riverside,CA,USA,20
RBK,Murrieta/Temecula,CA,USA,27
RBL,Red Bluff,CA,USA,10
RDD,Redding,CA,USA,1345
RHV,San Jose,CA,USA,27
RMY,Mariposa,CA,USA,27
SAC,Sacramento,CA,USA,35
SAN,San Diego,CA,USA,3254
SBA,Santa Barbara,CA,USA,1806
SBD,San Bernardino,CA,USA,20
SBP,San Luis Obispo,CA,USA,1790
SCK,Sacramento,CA,USA,205
SDM,San Diego,CA,USA,15
SEE,San Diego,CA,USA,27
SFO,San Francisco,CA,USA,3459
SJC,San Jose,CA,USA,2780
SMF,Sacramento,CA,USA,2961
SMO,Santa Monica,CA,USA,42
SMX,Santa Maria,CA,USA,676
SNA,Santa Ana,CA,USA,2394
SNS,Salinas,CA,USA,23
SQA,Santa Ynez,CA,USA,27
SQL,San Carlos,CA,USA,17
STS,Santa Rosa,CA,USA,1067
SZP,Santa Paula,CA,USA,34
TKF,Truckee,CA,USA,34
TLR,Tulare,CA,USA,5
TNP,Twentynine Palms,CA,USA,20
TOA,Torrance,CA,USA,15
TRM,Thermal,CA,USA,23
TSP,Tehachapi,CA,USA,22
TVL,South Lake Tahoe,CA,USA,29
UDD,Palm Springs,CA,USA,29
UKI,Ukiah,CA,USA,15
USA,Concord,CA,USA,24
VCV,Victorville,CA,USA,16
VIS,Visalia,CA,USA,62
VNY,Los Angeles,CA,USA,29
WJF,Lancaster,CA,USA,22
WLW,Willows,CA,USA,22
WVI,Watsonville,CA,USA,22
