dest,travelers
ACV,7510.643439281873
ALW,5146.050511960489
APC,3475.678459955972
APV,801.2
AST,664.0905696728294
AUN,810.2
AVW,1238.539032082246
AVX,749.097195988067
AZA,63048.70088203742
BAM,761.4
BDY,203.79999999999998
BFI,2238.9410491894655
BFL,11333.035761949064
BIH,709.2905273536661
BKE,592.1999999999999
BLD,680.268870767542
BLH,599.2
BLI,29125.962850268
BLU,788.1999999999999
BNO,605.2
BUR,214642.73304992763
BWC,595
BXS,407.60000000000014
CCB,45
CCR,1483.628078539722
CEC,1047.2581179680612
CGZ,597.1999999999999
CIC,1507.2798521763455
CLD,2482.3256560414015
CLM,631.4000000000001
CLR,607.8
COA,382.00000000000006
CSL,1483.0000000000007
CSN,203.79999999999998
CTW,728.0862344855615
CVO,650.2478635167428
CWX,203.79999999999998
CXL,627.2
DAG,802.4
DUG,186.20000000000002
DVT,773.030139227718
EAT,5897.554448036574
EKA,407.6
EKO,1954.606935101434
ELY,185.6
EMT,1003.2
EPH,408.00000000000006
ESD,1052.6100250432476
EUG,47566.052007450526
FAT,71496.7454071803
FBS,234.75
FCH,686.3956881648616
FHU,404.6
FLG,6917.0957598180075
FLX,784.0000000000001
FRD,1472.5133259237991
FUL,767.8870587646496
GCN,1004.848266993887
GCW,191.69356126255872
GEG,152865.71348695122
GNF,407.60000000000014
GYR,603.8
HHR,3646.9326550457836
HII,1200
HIO,203.79999999999998
HMT,782.4
HQM,623.2780554517923
HSH,2898.27346334916
HTH,813.2
HWD,779.7150360946441
IFP,1087.8339883785372
IGM,838.4925822885713
INW,389.59999999999997
IPL,692.2877813548179
IYK,350.45109878679034
KEH,182.33092529129652
KIC,692.7311174281722
KLS,408.4
LAS,1790772.8887488556
LAX,2833803.7112149866
LGB,144912.20766935343
LGD,608
LKE,507.77002635394086
LMT,913.9432722063169
LPC,515.7233548211577
LSN,818.5999999999998
LVK,801.6
MAE,801.8
MCC,794.0000000000001
MCE,714.5629807404864
MFR,42249.4891089545
MHR,975
MHV,809
MIT,203.99999999999997
MMH,3329.2873086991585
MOD,1259.0848664967675
MRY,20571.597041694105
MSC,755.2048769942907
MVM,613.2
MWH,615.6
MYF,4191.054519713217
MYV,649.2364427534598
NOT,723.6831159138022
OAK,495974.45632906235
ODW,515.7233548211577
OLM,661.1333305728489
OLS,186.60000000000002
OMK,204.20000000000002
ONO,620.5999999999999
ONP,429.80000000000007
ONT,359637.5612684916
OTH,1722.5260388496463
OTK,285
OVE,391.3999999999999
OXR,1234.8523927712495
PAE,37030.7
PAO,1745.2784706940272
PDT,877.0141998708173
PDX,722716.2384448147
PGA,1595.1072065026935
PHX,1235309.8570386241
PMD,813.8
POC,813.7159951078914
PRB,1806.7999999999997
PRC,1499.8023870395916
PSC,33464.24585023514
PSP,98951.72992025323
PTV,596.4
PUW,11050.71477654071
PWT,402
RAL,792
RBG,631.4
RBK,736.7908280814592
RBL,377.99999999999994
RDD,4773.6477462541025
RDM,34172.31683801269
RHV,852.7817398288489
RLD,875.9858731776244
RMY,751.2713164279087
RNO,174984.870530554
RNT,643.3901260915476
SAC,2073.9750168456726
SAD,569
SAN,931162.1720662069
SBA,39087.07391890599
SBD,966.8000000000001
SBP,20209.265561925364
SCF,1537.7130955844784
SCK,8723.852880552438
SDM,608.1999999999999
SDX,1717.9359945163271
SEA,1447664.2127609088
SEE,731.6459773457435
SFF,606.1694783003469
SFO,1805355.9485934246
SJC,568314.1422948182
SLE,748.7574890660702
SMF,470727.77014767565
SMO,3027.1907285766115
SMX,2210.676560358855
SNA,424733.1631122392
SNS,717.5945454833517
SOW,414.0157987906015
SQA,3175.195805461089
SQL,3571.642002336164
STS,17445.288108632314
SUO,448.66404071237844
SZP,1575.2836749438393
TIW,611
TKF,3706.5495699098065
TLR,203.79999999999998
TNP,581.1999999999999
TOA,787.5999999999999
TPH,826.8
TRM,786.25154133422
TSP,725.372075028075
TTD,203.79999999999998
TUS,147244.17782693525
TVL,1305.2400114739924
TWD,203.79999999999998
UDD,2324.395291763463
UKI,395.59999999999997
USA,11790.62172567042
VCV,1032.4
VGT,3898.5965906758042
VIS,664.9257803068734
VLE,203.79999999999998
VNY,3509.8921130319272
WJF,719.1070827994049
WLW,658.178544727994
WMC,569.4
WSX,373.875
WVI,1286.5597262411945
YKM,6551.154593220161
YUM,7305.745806984424
