airport_iata,fips_cty,countyname,pop_attribution,pop_airport_catchment,cty_risk
PHL,10001,Kent,143538,12620137,0.01137372755937594
BWI,10001,Kent,13338,4091541,0.00325989645466097
PHL,10003,New Castle,1475,12620137,1.1687670268555721e-4
BWI,10005,Sussex,50008,4091541,0.012222289841406941
PHL,10005,Sussex,140838,12620137,0.011159783764629496
IAD,24001,Allegany,59924,3630433,0.01650602008080028
PIT,24001,Allegany,14714,4146525,0.003548513514328263
BWI,24003,Anne Arundel,511867,4091541,0.12510372008981457
DCA,24003,Anne Arundel,15153,1273555,0.011898190498250959
BWI,24005,Baltimore,2617,4091541,6.396123123292666e-4
BWI,24009,Calvert,3679,4091541,8.991722189756867e-4
DCA,24009,Calvert,84212,1273555,0.06612356749414042
BWI,24011,Caroline,32629,4091541,0.007974745945354085
PHL,24011,Caroline,176,12620137,1.3945965879768183e-5
BWI,24013,Carroll,161196,4091541,0.039397381084535145
IAD,24013,Carroll,6012,3630433,0.0016560008131261477
BWI,24015,Cecil,37269,4091541,0.009108792995108689
DCA,24017,Charles,143912,1273555,0.11300022378303254
BWI,24019,Dorchester,32184,4091541,0.007865984967522017
DCA,24019,Dorchester,103,1273555,8.087597316174017e-5
BWI,24021,Frederick,11624,4091541,0.0028409833849886877
IAD,24021,Frederick,217581,3630433,0.059932520445908244
PIT,24023,Garrett,30145,4146525,0.007269942903997926
BWI,24025,Harford,242887,4091541,0.05936320814089362
BWI,24027,Howard,260443,4091541,0.06365401202138754
DCA,24027,Howard,14209,1273555,0.011156958278205495
IAD,24027,Howard,4714,3630433,0.0012984677034392315
BWI,24029,Kent,17191,4091541,0.004201595438002454
PHL,24029,Kent,2827,12620137,2.2400707694377644e-4
BWI,24031,Montgomery,12033,4091541,0.002940945721917488
IAD,24031,Montgomery,485425,3630433,0.13370994589350638
BWI,24033,Prince George's,151305,4091541,0.03697995449636213
BWI,24035,Queen Anne's,45057,4091541,0.01101223231051577
PHL,24035,Queen Anne's,1888,12620137,1.4960217943751325e-4
DCA,24037,St. Mary's,102086,1273555,0.08015829705038259
BWI,24039,Somerset,8013,4091541,0.0019584308210525083
ORF,24039,Somerset,18398,1651045,0.011143245641396812
BWI,24041,Talbot,37361,4091541,0.009131278410750374
IAD,24043,Washington,146329,3630433,0.04030621140784033
BWI,24045,Wicomico,87510,4091541,0.021388029595695118
PHL,24045,Wicomico,9441,12620137,7.480901356300649e-4
BWI,24047,Worcester,4394,4091541,0.0010739230035822689
ORF,24047,Worcester,28753,1651045,0.01741503108637257
BWI,24510,Baltimore,620538,4091541,0.15166363968978924
PHL,34001,Atlantic,273162,12620137,0.021644931429825206
PHL,34003,Bergen,896482,12620137,0.07103583740810421
PHL,34005,Burlington,447861,12620137,0.0354878080959026
PHL,34009,Cape May,97684,12620137,0.0077403280170413365
PHL,34011,Cumberland,155456,12620137,0.012318091317075243
PHL,34013,Essex,780872,12620137,0.06187508107083148
PHL,34015,Gloucester,285223,12620137,0.02260062628480182
PHL,34017,Hudson,622123,12620137,0.049296057562608075
PHL,34019,Hunterdon,128458,12620137,0.010178811846495803
PHL,34021,Mercer,364445,12620137,0.028878054176432473
PHL,34023,Middlesex,798882,12620137,0.06330216542023276
PHL,34025,Monmouth,628112,12620137,0.04977061659473269
PHL,34027,Morris,489811,12620137,0.03881186075872235
PHL,34029,Ocean,569374,12620137,0.04511630895924505
PHL,34031,Passaic,496204,12620137,0.03931843212161643
PHL,34033,Salem,65982,12620137,0.005228310912948092
PHL,34035,Somerset,319347,12620137,0.025304558896626875
PHL,34037,Sussex,149996,12620137,0.011885449421032434
PHL,34039,Union,529547,12620137,0.04196047950985001
PHL,34041,Warren,108982,12620137,0.008635563940391455
BWI,42001,Adams,68665,4091541,0.016782185489525828
IAD,42001,Adams,32175,3630433,0.008862579201984997
PIT,42003,Allegheny,1223066,4146525,0.29496168478424706
PIT,42005,Armstrong,69489,4146525,0.016758369960388517
PIT,42007,Beaver,171569,4146525,0.041376574360458454
IAD,42009,Bedford,43427,3630433,0.011961934017237063
PIT,42009,Bedford,6455,4146525,0.0015567252096635135
BWI,42011,Berks,89,4091541,2.175219556641373e-5
PHL,42011,Berks,407221,12620137,0.032267557792756134
IAD,42013,Blair,89838,3630433,0.024745808557822165
PIT,42013,Blair,37233,4146525,0.0089793260621846
PHL,42015,Bradford,62415,12620137,0.00494566738855529
PIT,42019,Butler,182554,4146525,0.04402578062353416
PIT,42021,Cambria,144741,4146525,0.03490657839998553
PIT,42023,Cameron,5197,4146525,0.0012533386389808334
PHL,42025,Carbon,64563,12620137,0.005115871563042462
BWI,42027,Centre,30983,4091541,0.00757245253072131
IAD,42027,Centre,113210,3630433,0.03118360812608303
PIT,42027,Centre,7218,4146525,0.0017407347115958544
BWI,42029,Chester,3534,4091541,8.637332486708553e-4
PHL,42029,Chester,487038,12620137,0.0385921325576735
PIT,42031,Clarion,40290,4146525,0.00971656989889124
IAD,42033,Clearfield,1532,3630433,4.2198823115589796e-4
PIT,42033,Clearfield,80599,4146525,0.01943772194789613
BWI,42035,Clinton,24222,4091541,0.005920018887749139
IAD,42035,Clinton,11047,3630433,0.003042887721657444
PIT,42035,Clinton,3701,4146525,8.925546089798084e-4
PHL,42037,Columbia,66642,12620137,0.005280608284997223
PIT,42039,Crawford,89153,4146525,0.021500654162220172
BWI,42041,Cumberland,157540,4091541,0.038503830219469876
IAD,42041,Cumberland,73796,3630433,0.020327051897115304
BWI,42043,Dauphin,264823,4091541,0.0647245133312852
PHL,42045,Delaware,556468,12620137,0.04409365762035705
PIT,42047,Elk,32480,4146525,0.00783306503638589
PIT,42049,Erie,279234,4146525,0.06734168972814586
PIT,42051,Fayette,138807,4146525,0.033475500569754194
PIT,42053,Forest,7585,4146525,0.001829242558527924
IAD,42055,Franklin,146558,3630433,0.04036928928312408
IAD,42057,Fulton,14839,3630433,0.004087391228539405
PIT,42059,Greene,39003,4146525,0.009406189520140358
IAD,42061,Huntingdon,45830,3630433,0.012623838533860838
PIT,42063,Indiana,88745,4146525,0.02140225851767444
PIT,42065,Jefferson,45244,4146525,0.010911305249576453
BWI,42067,Juniata,15495,4091541,0.003787081688781806
IAD,42067,Juniata,8890,3630433,0.0024487437173472144
PHL,42069,Lackawanna,213731,12620137,0.016935711553685985
BWI,42071,Lancaster,296546,4091541,0.07247782681390703
PHL,42071,Lancaster,214704,12620137,0.017012810558237206
PIT,42073,Lawrence,91682,4146525,0.02211056245892645
BWI,42075,Lebanon,101624,4091541,0.024837585643159875
PHL,42075,Lebanon,29717,12620137,0.0023547287957333585
PHL,42077,Lehigh,343946,12620137,0.027253745343651974
PHL,42079,Luzerne,319120,12620137,0.025286571770179674
BWI,42081,Lycoming,89149,4091541,0.021788612163485592
PHL,42081,Lycoming,27227,12620137,0.0021574250739116382
PIT,42083,McKean,43853,4146525,0.010575843628098228
PIT,42085,Mercer,117296,4146525,0.028287783143716726
BWI,42087,Mifflin,14391,4091541,0.003517256701081573
IAD,42087,Mifflin,32192,3630433,0.008867261839014795
PHL,42089,Monroe,168080,12620137,0.013318397415178615
PHL,42091,Montgomery,790497,12620137,0.0626377510798813
BWI,42093,Montour,5267,4091541,0.0012872900454865294
PHL,42093,Montour,12885,12620137,0.0010209873315955287
PHL,42095,Northampton,0,12620137,0
BWI,42097,Northumberland,75415,4091541,0.01843193065888867
PHL,42097,Northumberland,18684,12620137,0.0014804910596453906
BWI,42099,Perry,35829,4091541,0.00875684735897795
IAD,42099,Perry,9770,3630433,0.0026911390459485136
PHL,42103,Pike,56993,12620137,0.004516036553327432
BWI,42105,Potter,4113,4091541,0.0010052447231984232
IAD,42105,Potter,301,3630433,8.291022035112616e-5
PIT,42105,Potter,13169,4146525,0.0031759123603499317
BWI,42107,Schuylkill,15526,4091541,0.0037946582962262872
PHL,42107,Schuylkill,132761,12620137,0.010519774864567635
BWI,42109,Snyder,39400,4091541,0.009629623655243832
IAD,42111,Somerset,1069,3630433,2.9445523440316897e-4
PIT,42111,Somerset,77150,4146525,0.018605941119371038
PHL,42113,Sullivan,6467,12620137,5.12435007638982e-4
PHL,42115,Susquehanna,43343,12620137,0.003434431813220411
BWI,42117,Tioga,32746,4091541,0.008003341528289708
PHL,42117,Tioga,8885,12620137,7.040335616007972e-4
BWI,42119,Union,44866,4091541,0.010965550632390094
PIT,42121,Venango,55320,4146525,0.013341291804583356
PIT,42123,Warren,41877,4146525,0.01009930001627869
PIT,42125,Washington,206987,4146525,0.049918184503891815
PHL,42127,Wayne,52302,12620137,0.004144329019566111
PIT,42129,Westmoreland,365841,4146525,0.08822833577513702
PHL,42131,Wyoming,28262,12620137,0.002239436861897775
BWI,42133,York,428175,4091541,0.10464883524324943
ORF,51001,Accomack,356,1651045,2.156210157809145e-4
IAD,51003,Albemarle,25251,3630433,0.006955368684672049
RIC,51003,Albemarle,71382,2830385,0.02521989058025675
PIT,51005,Alleghany,8399,4146525,0.0020255515160284817
RIC,51005,Alleghany,8007,2830385,0.002828943765600793
RIC,51007,Amelia,12517,2830385,0.004422366568505698
RIC,51009,Amherst,32315,2830385,0.011417174695315302
RIC,51011,Appomattox,14653,2830385,0.0051770342197262915
DCA,51013,Arlington,197467,1273555,0.15505180380902278
IAD,51015,Augusta,55446,3630433,0.015272558397304124
RIC,51015,Augusta,17755,2830385,0.006272998196358446
IAD,51017,Bath,1614,3630433,4.4457506859374625e-4
PIT,51017,Bath,1996,4146525,4.813669277286403e-4
RIC,51017,Bath,1169,2830385,4.1301801698355526e-4
RIC,51019,Bedford,67697,2830385,0.023917947558371035
PIT,51021,Bland,6873,4146525,0.0016575325121637998
RIC,51023,Botetourt,32867,2830385,0.011612201166979051
RIC,51025,Brunswick,17707,2830385,0.006256039372735511
PIT,51027,Buchanan,24459,4146525,0.005898674191039485
RIC,51029,Buckingham,16874,2830385,0.005961733121112499
RIC,51031,Campbell,54174,2830385,0.019140152311434663
DCA,51033,Caroline,1052,1273555,8.260342113218511e-4
RIC,51033,Caroline,26792,2830385,0.009465850052201378
PIT,51035,Carroll,50,4146525,1.205828977276153e-5
RIC,51035,Carroll,29935,2830385,0.010576299690678123
RIC,51036,Charles City,7205,2830385,0.0025455900875675924
RIC,51037,Charlotte,12644,2830385,0.004467236789341379
RIC,51041,Chesterfield,308633,2830385,0.1090427627336917
IAD,51043,Clarke,14013,3630433,0.0038598701587386408
PIT,51045,Craig,656,4146525,1.5820476181863127e-4
RIC,51045,Craig,4517,2830385,0.00159589596468325
IAD,51047,Culpeper,45749,3630433,0.012601527145660036
RIC,51049,Cumberland,9855,2830385,0.0034818584750837783
PIT,51051,Dickenson,15966,4146525,0.0038504530902382116
RIC,51053,Dinwiddie,27449,2830385,0.009697973950540298
DCA,51057,Essex,14,1273555,1.0992850721013226e-5
RIC,51057,Essex,10887,2830385,0.003846473182976874
DCA,51059,Fairfax,476441,1273555,0.3741031993121616
IAD,51059,Fairfax,572113,3630433,0.1575880893546307
IAD,51061,Fauquier,64546,3630433,0.017779146454431193
RIC,51063,Floyd,15030,2830385,0.0053102316469314246
RIC,51065,Fluvanna,25308,2830385,0.008941539755192315
RIC,51067,Franklin,54938,2830385,0.019410080254099706
IAD,51069,Frederick,75835,3630433,0.020888692891453994
PIT,51071,Giles,16430,4146525,0.003962354019329439
RIC,51071,Giles,775,2830385,2.7381433974529965e-4
ORF,51073,Gloucester,29484,1651045,0.01785778098113619
RIC,51073,Gloucester,7126,2830385,0.0025176786903548455
RIC,51075,Goochland,21136,2830385,0.007467535335298908
PIT,51077,Grayson,9361,4146525,0.0022575530112564136
RIC,51077,Grayson,6494,2830385,0.002294387512652872
IAD,51079,Greene,18082,3630433,0.004980673104282602
RIC,51081,Greensville,12181,2830385,0.004303654803145155
RIC,51083,Halifax,36311,2830385,0.012828996761924614
RIC,51085,Hanover,99172,2830385,0.03503834284028498
RIC,51087,Henrico,300053,2830385,0.10601137301109213
RIC,51089,Henry,54860,2830385,0.01938252216571244
IAD,51091,Highland,1331,3630433,3.6662293450946486e-4
PIT,51091,Highland,1064,4146525,2.5660040636436534e-4
ORF,51093,Isle of Wight,34762,1651045,0.021054544243191434
ORF,51095,James City,9389,1651045,0.00568670145271631
RIC,51095,James City,54997,2830385,0.019430925474802897
RIC,51097,King and Queen,6926,2830385,0.0024470169252592843
DCA,51099,King George,22299,1273555,0.01750925558770528
RIC,51099,King George,495,2830385,1.7488786861151397e-4
RIC,51101,King William,15509,2830385,0.005479466574335293
ORF,51103,Lancaster,5879,1651045,0.0035607751454381923
RIC,51103,Lancaster,5599,2830385,0.001978176113850236
PIT,51105,Lee,25434,4146525,0.006133810841608335
IAD,51107,Loudoun,291653,3630433,0.0803355963324485
RIC,51109,Louisa,32248,2830385,0.011393503004008288
RIC,51111,Lunenburg,12968,2830385,0.004581708848796188
IAD,51113,Madison,13342,3630433,0.0036750437206801503
ORF,51115,Mathews,9004,1651045,0.0054535158036274
RIC,51117,Mecklenburg,32774,2830385,0.011579343446209615
ORF,51119,Middlesex,4219,1651045,0.002555351307808085
RIC,51119,Middlesex,6612,2830385,0.0023360779540592532
PIT,51121,Montgomery,904,4146525,2.1801387909152844e-4
RIC,51121,Montgomery,91623,2830385,0.032371214516753025
RIC,51125,Nelson,14989,2830385,0.005295745985086834
RIC,51127,New Kent,17655,2830385,0.0062376673138106655
ORF,51131,Northampton,12572,1651045,0.007614571377521509
ORF,51133,Northumberland,5458,1651045,0.003305785123966942
RIC,51133,Northumberland,6961,2830385,0.0024593827341510078
RIC,51135,Nottoway,15819,2830385,0.005588992310233414
IAD,51137,Orange,29887,3630433,0.00823235134762162
RIC,51137,Orange,2843,2830385,0.0010044569908334024
IAD,51139,Page,24116,3630433,0.006642733800623782
RIC,51141,Patrick,18643,2830385,0.006586736433382738
RIC,51143,Pittsylvania,63147,2830385,0.02231039240244702
RIC,51145,Powhatan,27758,2830385,0.00980714637761294
RIC,51147,Prince Edward,22723,2830385,0.008028236441332185
RIC,51149,Prince George,35129,2830385,0.012411385730209848
DCA,51153,Prince William,43193,1273555,0.03391530008519459
IAD,51153,Prince William,336222,3630433,0.09261209337839316
PIT,51155,Pulaski,13404,4146525,0.0032325863222819108
RIC,51155,Pulaski,21559,2830385,0.00761698496847602
IAD,51157,Rappahannock,7376,3630433,0.0020317135724581613
DCA,51159,Richmond,16,1273555,1.2563257966872259e-5
RIC,51159,Richmond,9312,2830385,0.00329001178284933
RIC,51161,Roanoke,91583,2830385,0.03235708216373391
IAD,51163,Rockbridge,551,3630433,1.5177252961285885e-4
RIC,51163,Rockbridge,21666,2830385,0.007654789012802145
IAD,51163,Rockbridge,551,3630433,1.5177252961285885e-4
RIC,51163,Rockbridge,21666,2830385,0.007654789012802145
IAD,51165,Rockingham,74922,3630433,0.020637207738030145
PIT,51167,Russell,28842,4146525,0.00695570387251976
PIT,51169,Scott,23234,4146525,0.005603246091606827
IAD,51171,Shenandoah,41468,3630433,0.011422328961862125
PIT,51173,Smyth,32383,4146525,0.007809671954226732
ORF,51175,Southampton,5864,1651045,0.003551689990278884
RIC,51175,Southampton,12629,2830385,0.004461937156959212
DCA,51177,Spotsylvania,284,1273555,2.229978289119826e-4
IAD,51177,Spotsylvania,51873,3630433,0.01428837827333544
RIC,51177,Spotsylvania,68055,2830385,0.02404443211789209
DCA,51179,Stafford,17706,1273555,0.013902815347590013
IAD,51179,Stafford,106881,3630433,0.029440289904813007
ORF,51181,Surry,1742,1651045,0.0010550893525009919
RIC,51181,Surry,5297,2830385,0.0018714768485559386
RIC,51183,Sussex,12167,2830385,0.004298708479588466
PIT,51185,Tazewell,44706,4146525,0.010781558051621539
IAD,51187,Warren,37044,3630433,0.010203741537166503
PIT,51191,Washington,54322,4146525,0.013100608340719036
DCA,51193,Westmoreland,10296,1273555,0.008084456501682298
RIC,51193,Westmoreland,6941,2830385,0.0024523165576414516
PIT,51195,Wise,41496,4146525,0.010007415848210249
PIT,51197,Wythe,24556,4146525,0.005922067273198642
RIC,51197,Wythe,4449,2830385,0.001571870964550759
ORF,51199,York,57155,1651045,0.03461746954201733
RIC,51199,York,7691,2830385,0.002717298176749806
DCA,51510,Alexandria,133647,1273555,0.10494010859366106
RIC,51515,Bedford,6177,2830385,0.002182388614976408
PIT,51520,Bristol,17704,4146525,0.004269599242739402
RIC,51530,Buena Vista,6653,2830385,0.0023505636159038435
RIC,51540,Charlottesville,42267,2830385,0.014933304126470428
ORF,51550,Chesapeake,219268,1651045,0.13280558676474596
RIC,51570,Colonial Heights,17472,2830385,0.006173011798748227
PIT,51580,Covington,3,4146525,7.234973863656917e-7
RIC,51580,Covington,5986,2830385,0.0021149066293101467
RIC,51590,Danville,43787,2830385,0.015470333541196693
RIC,51595,Emporia,5822,2830385,0.0020569639819317865
IAD,51600,Fairfax,22058,3630433,0.006075859270781199
DCA,51610,Falls Church,11465,1273555,0.009002359536886903
ORF,51620,Franklin,8549,1651045,0.005177932763795051
IAD,51630,Fredericksburg,23375,3630433,0.0064386259159720065
RIC,51640,Galax,6936,2830385,0.0024505500135140624
ORF,51650,Hampton,139046,1651045,0.08421696561874449
IAD,51660,Harrisonburg,47406,3630433,0.0130579465314468
RIC,51670,Hopewell,22506,2830385,0.007951568426203502
RIC,51678,Lexington,6990,2830385,0.002469628690089864
RIC,51680,Lynchburg,73726,2830385,0.026048046467176726
IAD,51683,Manassas,36067,3630433,0.009934627632571653
IAD,51685,Manassas Park,13195,3630433,0.0036345526828342515
RIC,51690,Martinsville,14029,2830385,0.0049565695126281405
ORF,51700,Newport News,181822,1651045,0.11012540542504898
ORF,51710,Norfolk,242143,1651045,0.14666044838269096
PIT,51720,Norton,3886,4146525,9.371702811390261e-4
RIC,51730,Petersburg,32303,2830385,0.011412934989409568
ORF,51735,Poquoson,12099,1651045,0.0073280861514979905
ORF,51740,Portsmouth,96785,1651045,0.058620449472909585
RIC,51750,Radford,16318,2830385,0.005765293414146839
RIC,51760,Richmond,201828,2830385,0.07130761362853463
RIC,51770,Roanoke,95793,2830385,0.03384451231899547
RIC,51775,Salem,24641,2830385,0.008705882768598619
IAD,51790,Staunton,23806,3630433,0.006557344537139234
ORF,51800,Suffolk,82544,1651045,0.04999500316466238
ORF,51810,Virginia Beach,435996,1651045,0.2640727539225157
IAD,51820,Waynesboro,4248,3630433,0.0011701083589753618
RIC,51820,Waynesboro,16637,2830385,0.005877998929474259
ORF,51830,Williamsburg,9758,1651045,0.005910196269635292
RIC,51830,Williamsburg,3663,2830385,0.0012941702277252034
IAD,51840,Winchester,25953,3630433,0.007148734049078994
